C_a,policy,n_seeds,TP_mean,TP_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auprc_mean,auprc_std,cumulative_reward_mean,cumulative_reward_std,cumulative_regret_mean,cumulative_regret_std
50.0,CS_BootstrappedUCB,5,65.8,15.530614926653742,85331.2,1.7888543819990184,3.8,1.7888543819998317,42.2,15.530614926653742,0.9456293706293707,0.017044333834414498,0.6092592592592593,0.1438019900616087,0.7328867676102699,0.11020286996626455,0.7473677007227018,0.008802287144417923,-9852.776000000002,2024.9299066831911,7606.876000000001,2024.929906683191
50.0,CS_BootstrappedTS,5,62.0,16.688319268278637,85330.8,3.4205262752972545,4.2,3.420526275297414,46.0,16.688319268278637,0.9424049250612356,0.03222165038370483,0.5740740740740741,0.15452147470628366,0.7017236909834107,0.11576635930660265,0.752278214477007,0.000915434472564237,-9915.252,2397.681487827355,7669.352000000002,2397.681487827355
50.0,LM_EpsilonGreedy,5,69.6,7.368853370776215,81064.4,90.33437883773867,4270.6,90.33437883773821,38.4,7.3688533707762165,0.01603838261815583,0.0017136438038322316,0.6444444444444445,0.06823012380348349,0.03129758025453838,0.0033414934013099307,0.533356393574278,0.02697207319565077,-223084.964,4817.416764182833,220839.064,4817.416764182846
50.0,LM_LinUCB,5,79.2,3.033150177620621,85316.0,1.581138830082464,19.0,1.5811388300841893,28.8,3.03315017762062,0.8067043517011548,0.009896046006418503,0.7333333333333333,0.02808472386685761,0.7679783217634879,0.014903770870154221,0.7649265616439244,0.015186480234983719,-7868.234000000001,238.4271884244744,5622.334000000001,238.4271884244741
50.0,LM_LinTS,5,70.8,12.173742234826559,85324.0,4.123105625616006,11.0,4.123105625617661,37.2,12.17374223482656,0.8682345991478485,0.027913767682644034,0.6555555555555556,0.11271983550765334,0.7416229713147303,0.07079917975857479,0.7414195724804428,0.045462259635314965,-9842.552,2646.4028784880798,7596.652,2646.4028784880807
50.0,LM_BootstrappedUCB,5,72.6,2.3021728866442683,85330.0,2.1213203435596424,5.0,2.1213203435596424,35.4,2.3021728866442674,0.9361539450441889,0.02517861320175927,0.6722222222222223,0.02131641561707658,0.7822508106233989,0.016496928339208617,0.6642437393744217,0.01895990594256317,-9264.688,734.5104678423571,7018.7880000000005,734.5104678423571
50.0,LM_BootstrappedTS,5,72.4,3.209361307176243,85328.8,1.3038404810415063,6.2,1.3038404810405297,35.6,3.209361307176242,0.9208568261007285,0.018029427221245516,0.6703703703703703,0.029716308399779994,0.7757682878847493,0.02548140008355595,0.6490248943258023,0.02190995790950079,-9078.3,1487.1973674835508,6832.4,1487.197367483551
50.0,LogisticRegression,1,33.0,,81207.0,,4128.0,,75.0,,0.007930785868781542,,0.3055555555555556,,0.015460295151089246,,0.7470716926962336,,-208841.52,,206595.62,
50.0,RandomForest,5,28.2,0.44721359549995765,85295.0,3.240370349203369,40.0,3.24037034920393,79.8,0.44721359549995715,0.41422051239583296,0.020956583031744865,0.2611111111111111,0.004140866624999631,0.32018546939518877,0.00833149176095804,0.8222525861489837,0.0030049525142272376,-6452.53,351.775920153725,4206.629999999999,351.77592015372574
50.0,XGBoost,1,29.0,,85312.0,,23.0,,79.0,,0.5576923076923077,,0.26851851851851855,,0.3625,,0.7990362537074601,,-5718.02,,3472.1200000000003,
